user_id,lat,lon,timestamp
22270038,40.8609,14.1516,2025-02-18 02:22:25.666
24327998,40.8324,14.0919,2025-02-18 02:22:25.666
26518065,40.8604,14.1507,2025-02-18 02:22:25.686
24837493,40.8683,14.1421,2025-02-18 02:22:25.691
24816470,40.8176,14.1632,2025-02-18 02:22:25.704
26548319,40.8502,14.1777,2025-02-18 02:22:25.716
26523162,40.8154,14.1667,2025-02-18 02:22:25.720
26271861,40.8586,14.0846,2025-02-18 02:22:25.726
26550291,40.8778,14.1204,2025-02-18 02:22:25.750
22269337,40.8381,14.2036,2025-02-18 02:22:25.752
24876980,40.8315,14.0878,2025-02-18 02:22:25.759
25644422,40.8632,14.1435,2025-02-18 02:22:25.773
26562660,40.8795,14.134,2025-02-18 02:22:25.810
22325265,40.8605,14.1762,2025-02-18 02:22:25.812
25477148,40.8599,14.1732,2025-02-18 02:22:25.812
24339953,40.878,14.1219,2025-02-18 02:22:25.817
24755999,40.8612,14.1751,2025-02-18 02:22:25.827
24720879,40.8446,14.0815,2025-02-18 02:22:25.828
