user_id,lat,lon
26545220,40.8826,14.1468
26538989,40.8905,14.2388
24577055,40.9202,14.2125
26544075,40.9075,14.2065
24811595,40.8932,14.1927
24817731,40.8636,14.2477
26550340,40.89,14.2741
24691373,40.8775,14.1389
6887339,40.9994,14.1998
26540474,40.9052,14.0851
26554174,40.8599,14.3281
24833164,40.8979,14.4138
24819019,40.8248,14.2032
26550375,40.8163,14.0581
26557710,40.9068,14.1527
26541255,40.9138,14.1899
24759554,40.8127,14.0658
26561810,40.9198,14.2013
26545843,40.9223,14.1566
22544518,40.8329,14.1988
24700069,40.8222,14.2007
25601086,40.9412,14.3674
26079424,40.8325,14.3311
22268148,40.9242,14.196
25162749,40.9273,14.2346
25060110,40.9249,14.2031
22318875,40.8323,14.0949
25455293,40.8247,14.3188
24814833,40.9063,14.0437
25480961,40.874,14.3564
24797057,40.9726,14.2012
24831230,40.8595,14.1751
24902501,40.8986,14.1882
24797779,40.9191,14.1036
24825673,40.9123,14.0703
25669299,40.8577,14.1672
24875226,41.0869,14.0957
21791881,40.8319,14.0801
26387312,40.9042,14.2112
24809089,40.8201,14.1924
22443990,40.876,14.095
24827119,40.8738,14.1464
13467998,40.9244,14.1634
25065740,40.8079,14.3676
24812859,40.8341,14.3244
22269350,40.8574,14.1805
5160579,40.8652,14.2278
24817047,40.805,14.053
22355625,40.8741,14.0433
24815728,40.8557,14.0637
24864032,40.9085,14.2407
24827003,40.9147,14.1454
26559198,40.8633,14.17
26558151,40.8383,14.1961
26559488,40.8273,14.0735
22322644,40.8262,14.2037
22331730,40.8554,14.2325
24559824,40.958,14.3011
24817618,40.8989,14.07
19509198,40.9013,14.1078
26517343,40.8712,14.1359
22319726,40.8789,14.0592
12199366,40.8756,14.1265
24868905,40.8624,14.2515
24826599,41.0578,14.2776
24837231,40.7836,14.3695
22275851,40.8536,14.17
26544611,40.842,14.1991
26384449,40.9169,14.1575
24808990,40.8258,14.2016
24819712,40.8933,14.2229
8345431,40.8999,14.1943
22347779,40.9036,14.1156
22294260,40.9288,14.2337
24710472,40.8342,14.1029
22320505,40.8626,14.1757
26539135,40.9001,14.1962
26539940,40.9124,14.3381
26539004,40.8518,14.2846
26393299,40.8558,14.1694
24812070,40.9384,14.2624
19554324,40.8868,14.2729
7673485,40.8983,14.1668
26538847,40.8026,14.0503
